views,contacts,last_7_views,last_3_views,last_7_contacts,last_3_contacts,live_days,max_messages_events,messages_events,messages_users,avg_contacts_delta,max_contacts_delta,min_contacts_delta,mumur_advertid,AB_test_group,is_selling_3
469,15,231,168,8,8,41,2,9,6,0.0,0,0,2448762684,0,1
363,3,155,58,0,0,11,2,5,4,0.0,0,0,1109440396,0,0
4353,78,2129,907,43,3,16,4,72,51,-1.5,8,-9,359163314,0,1
192,5,192,44,5,1,8,2,2,1,-0.5,1,-3,590155253,0,0
122,5,122,10,5,0,8,1,1,1,-0.33,2,-2,1072997466,0,0
356,7,153,101,6,7,18,1,6,6,0.0,2,-2,2277546179,1,0
524,4,90,39,0,1,27,3,8,5,0.0,0,0,1134194236,1,0
1932,26,362,234,4,5,16,2,22,17,0.0,0,0,3150456052,1,1
192,5,192,44,5,2,8,2,2,1,-0.5,1,-3,2362698621,1,0
637,5,213,75,2,1,22,1,8,8,0.0,1,-1,3690136880,1,0
426,14,426,426,14,15,2,3,11,8,0.67,10,-6,3078924330,1,1
52,4,52,13,4,3,8,0,0,0,0.0,2,-2,2689349646,1,1
441,5,441,125,5,4,8,1,5,5,0.0,1,-1,2670589207,0,0
252,1,252,70,1,1,8,2,8,5,0.0,0,0,2456327251,1,0
69,3,69,17,3,1,8,0,0,0,0.0,1,-2,3532995108,1,0
579,19,320,156,14,7,12,1,10,10,-0.5,0,-3,2154580275,1,1
395,4,395,125,4,2,7,4,12,7,0.0,2,-2,2913334373,0,0
763,20,763,754,20,21,5,2,13,12,0.0,0,0,369213925,1,0
809,8,809,231,8,6,8,0,0,0,0.0,1,-2,1291649110,1,0
1936,46,206,55,11,1,29,1,19,19,0.0,0,0,1794867594,0,0
138,0,138,55,0,1,8,1,1,1,0.0,0,0,792777730,1,0
207,14,207,207,14,15,2,3,13,9,-1.5,0,-9,786016688,1,1
1288,10,217,59,4,1,24,3,8,6,0.0,1,-1,3709748472,1,0
152,2,70,7,0,0,10,1,1,1,-0.33,0,-2,2154499948,0,0
1932,26,362,234,4,5,16,2,22,17,0.0,0,0,6786202,1,1
1705,31,1705,1705,31,31,4,5,34,26,0.0,0,0,2886403909,0,1
213,1,213,48,1,1,8,1,2,2,0.0,0,0,287904776,0,0
2223,5,1239,332,4,2,16,12,68,43,0.0,3,-2,1684514792,1,0
264,11,264,163,11,11,6,1,3,3,0.0,3,-3,2467976361,0,1
422,9,166,28,6,4,16,2,2,1,0.33,3,-3,829330783,1,1
544,2,544,143,2,0,8,2,7,5,-0.17,0,-1,2523446879,0,0
644,28,564,248,21,8,10,1,9,9,0.0,0,0,3346959394,1,1
357,12,357,54,12,5,8,2,19,15,0.0,0,0,3247942202,1,0
255,4,255,86,4,4,7,1,4,4,0.0,2,-2,2441180415,1,1
697,29,92,41,3,3,33,2,11,10,-0.67,0,-3,1956710711,1,0
1123,28,244,77,12,7,32,4,41,31,0.0,0,0,3601173708,1,0
785,4,305,103,3,1,16,2,3,2,0.0,2,-2,2976158715,1,0
221,11,221,221,11,11,1,2,9,6,-1.83,0,-11,812082543,0,1
1502,34,1502,1285,34,32,5,3,32,25,0.0,0,0,1626710804,1,0
398,3,185,56,1,1,16,2,4,2,0.0,1,-1,3142418780,0,0
975,22,975,975,22,23,3,7,28,16,0.0,8,-12,3640222812,1,0
258,9,258,40,9,4,8,1,4,4,0.0,3,-3,3727799051,1,0
103,5,101,8,5,1,8,2,8,7,0.0,4,-4,2132417,1,0
290,2,290,87,2,2,7,0,0,0,-0.17,1,-1,3035732472,1,1
148,28,148,75,28,25,6,3,19,13,0.0,8,-10,107406154,0,1
262,8,262,262,8,8,3,3,8,5,0.0,0,0,3387475940,0,1
107,1,107,33,1,1,8,1,1,1,0.0,0,0,3710700088,1,0
409,10,409,409,10,10,4,2,10,7,-0.33,3,-3,3783060792,0,0
107,4,107,33,4,1,8,0,0,0,0.0,1,-1,4273295088,0,0
934,30,934,499,30,14,6,3,16,12,0.0,0,0,2770683471,1,0
719,14,612,193,8,4,9,1,12,12,-0.33,1,-2,2362396963,1,0
145,6,145,63,6,4,8,0,0,0,0.0,3,-2,725036994,0,0
422,9,203,40,6,0,15,3,12,10,0.0,0,0,664826219,0,0
1676,14,655,269,5,2,23,2,15,14,0.0,0,0,3035123923,0,0
2052,28,2052,1524,28,18,6,3,21,16,-0.67,0,-4,2812208544,0,0
396,8,91,19,3,0,25,1,4,4,-0.33,1,-2,166199543,0,0
116,1,75,24,1,1,10,0,0,0,0.0,0,0,559449669,1,0
739,21,39,22,4,4,30,2,13,11,0.0,1,-1,1761085362,1,0
756,8,219,52,4,1,13,2,12,10,0.0,1,-1,3978277886,1,0
485,2,485,161,2,0,8,3,13,8,0.0,0,0,3699955184,0,0
255,7,255,255,7,7,2,1,3,3,0.0,6,-5,225882823,0,1
135,10,135,135,10,11,1,2,5,4,0.0,10,-10,1865833776,1,0
1554,8,328,66,2,0,18,4,40,25,0.0,2,-2,3643066593,0,0
575,11,113,41,3,1,32,1,8,8,-0.33,1,-2,4199238379,0,0
180,0,180,180,0,1,4,1,2,2,0.0,0,0,2884843913,1,0
282,1,282,89,1,0,8,1,2,2,0.0,1,-1,3358220537,0,0
1478,25,717,444,12,10,28,3,17,14,-0.67,0,-3,2088440044,1,0
3459,122,700,262,25,13,38,11,95,58,-0.67,6,-6,998972343,0,0
781,36,781,616,36,32,5,2,5,4,0.0,0,0,3289563245,0,1
1502,34,1502,1285,34,31,5,3,32,25,0.0,0,0,1354519165,0,0
492,6,492,158,6,4,8,8,17,9,0.0,0,0,3611101309,1,1
372,35,372,116,35,14,8,2,9,7,-0.33,4,-6,1656440255,1,0
337,28,322,129,27,14,4,2,7,5,-0.5,7,-10,3353943591,1,1
262,8,262,262,8,9,3,3,8,5,0.0,0,0,287909185,1,1
1431,64,1431,939,64,50,5,3,24,17,0.0,0,0,4001475100,0,1
116,1,75,24,1,0,10,0,0,0,0.0,0,0,1798658695,0,0
80,0,80,10,0,1,8,1,2,2,0.0,0,0,632503942,1,0
196,6,196,84,6,6,8,2,5,4,-0.17,2,-2,2668284569,1,0
909,23,909,341,23,6,8,0,0,0,-0.83,3,-4,2505062801,0,0
700,27,700,700,27,28,2,2,14,12,3.17,11,0,2835731795,1,0
3776,75,1161,360,17,8,18,3,43,31,0.0,0,0,3581682006,1,0
491,18,103,27,5,2,27,3,16,9,-0.17,0,-1,3202768133,1,0
3710,68,1749,934,33,26,10,6,92,64,0.0,0,0,2643848768,1,0
2191,29,717,258,13,6,24,4,65,46,0.0,0,0,1197295526,1,0
213,7,213,48,7,2,8,2,4,3,-0.5,1,-2,4237102786,1,0
1117,39,1057,445,39,25,9,2,12,10,-2.0,0,-8,792523342,1,1
308,21,308,105,21,9,8,2,6,5,-0.67,0,-4,3722165430,1,0
1226,20,41,6,2,0,29,2,14,13,0.0,0,0,2789918584,0,0
2936,28,480,267,10,4,37,2,9,8,0.0,0,0,2396986080,1,1
838,28,130,39,2,0,24,3,39,31,0.0,0,0,106406819,0,1
1141,30,1141,339,30,17,8,2,15,12,-0.5,5,-7,62555877,1,0
497,45,497,255,45,17,6,2,10,7,-0.5,1,-5,3070955149,1,1
581,1,213,55,0,0,13,1,1,1,0.0,0,0,1814215012,0,1
1521,17,1521,1002,17,14,8,2,19,16,0.0,0,0,1051699811,0,1
1164,18,88,38,1,1,32,1,8,8,0.0,0,0,776701007,1,0
225,4,225,63,4,1,8,2,17,14,-0.5,1,-3,1777978858,0,0
255,2,255,255,2,2,4,1,4,4,-0.5,0,-3,1084054884,0,0
1221,6,691,115,6,2,9,1,6,6,-0.17,2,-2,2589266453,0,0
733,7,733,643,7,5,6,0,0,0,0.0,0,0,18744315,0,1
174,11,174,111,11,11,6,1,1,1,1.17,7,-4,3019317039,0,1
383,11,383,173,11,11,8,3,5,3,1.0,3,-2,483358546,0,1
340,1,340,76,1,0,8,3,8,6,0.0,0,0,3012140083,0,0
2586,36,727,135,11,2,21,4,37,31,0.0,2,-2,2586758115,0,0
1516,51,695,578,18,14,18,3,11,9,0.0,0,0,1352806538,1,1
1554,8,328,66,2,0,18,4,40,25,0.0,2,-2,593115759,0,0
1083,44,1083,427,44,21,7,4,32,27,0.0,0,0,790559561,0,1
88,2,88,16,2,1,8,1,2,2,0.0,0,0,1070732910,1,1
224,8,224,40,8,3,8,1,6,6,0.0,1,-1,593421033,0,0
2069,13,280,133,0,0,40,3,35,29,0.0,0,0,74827277,0,0
518,2,331,82,2,2,11,1,1,1,0.0,1,-1,1591217537,1,0
237,11,237,237,11,11,3,3,13,9,0.0,9,-7,426519081,0,0
560,2,560,148,2,1,8,2,6,4,-0.17,0,-1,128551982,1,0
1496,5,332,84,1,1,35,1,5,5,0.0,2,-2,4142036194,1,0
53,0,53,53,0,0,2,0,0,0,0.0,0,0,4086888125,0,0
14,1,14,3,1,1,8,0,0,0,0.0,1,-1,734760631,1,0
308,21,308,105,21,9,8,2,6,5,-0.67,0,-4,804678167,1,0
790,19,326,130,7,5,15,3,20,17,0.0,2,-3,1575555752,1,0
341,3,54,12,1,0,38,1,2,2,-0.17,0,-1,1576398905,0,0
675,10,675,135,10,10,8,2,10,9,0.0,3,-6,2249527734,1,0
89,6,89,36,6,5,8,2,3,2,-0.67,0,-4,1752345568,1,0
581,36,581,390,36,17,7,5,26,16,0.0,0,0,2830137316,1,1
2069,13,280,133,0,0,40,3,35,29,0.0,0,0,3987894115,0,0
209,19,209,77,19,7,8,3,8,4,-1.17,1,-4,439592598,1,1
2612,149,2612,1827,149,103,6,11,82,56,0.0,0,0,3545128345,0,1
745,1,745,242,1,0,8,3,6,4,0.0,0,0,540820932,0,0
785,34,785,201,34,11,8,6,21,11,0.0,0,0,3797689909,0,1
855,16,855,761,16,15,5,5,21,14,-0.67,1,-5,3846605586,1,0
158,6,158,158,6,6,2,2,4,3,0.0,6,-6,2219726615,0,1
608,8,608,188,8,2,8,1,12,12,0.0,1,-1,2998224841,1,1
158,1,158,41,1,0,8,2,3,2,0.0,0,0,1409684324,0,0
1779,31,754,229,7,5,15,3,21,16,0.0,0,0,3593081541,1,1
544,4,544,118,4,4,8,3,6,4,0.17,2,-2,3203548555,1,0
1084,22,79,54,0,0,27,4,11,5,0.0,0,0,352801928,0,0
949,13,949,196,13,4,8,3,9,6,-0.33,2,-3,1921375419,0,0
421,3,421,97,3,1,8,0,0,0,-0.17,0,-1,2679372387,1,1
918,46,918,685,46,40,6,2,18,17,0.0,0,0,3910279448,0,1
846,11,846,257,11,10,8,1,2,2,-0.33,0,-2,2593628372,1,0
486,21,150,36,5,3,21,3,25,16,-0.17,0,-1,3422561616,1,0
569,33,569,569,33,33,4,11,26,11,-1.67,0,-10,3236237929,0,1
440,2,440,409,2,3,5,1,3,3,0.0,1,-1,2569025262,1,1
207,14,207,207,14,14,2,3,13,9,-1.5,0,-9,2893954877,0,1
781,16,781,473,16,9,7,1,6,6,-0.5,0,-2,295132235,0,1
571,12,330,89,2,0,13,3,9,7,0.0,0,0,3174290911,0,0
1150,17,191,74,0,0,41,2,13,11,0.0,0,0,2800543875,0,1
426,14,272,197,12,6,11,1,3,3,0.0,3,-4,2564829775,0,1
73,0,73,15,0,0,8,0,0,0,0.0,0,0,385537889,0,0
346,6,346,183,6,3,8,1,4,4,0.0,0,0,3813895522,0,1
618,8,73,33,0,1,29,2,12,11,0.0,0,0,3020895581,1,0
559,16,242,67,10,7,15,5,28,19,0.0,1,-1,4006179278,1,0
2139,88,1328,222,66,12,9,5,50,29,0.0,0,0,3526982547,0,1
345,1,345,121,1,2,8,3,27,24,-0.17,4,-5,3980974924,1,0
928,11,532,223,9,7,12,1,3,3,0.0,0,0,926522089,0,1
460,38,460,415,38,38,5,1,8,8,0.0,0,0,1545893009,1,1
195,2,75,17,1,1,11,3,4,2,0.0,0,0,2278464008,1,0
578,6,283,180,0,1,16,1,7,7,0.0,0,0,2851939330,1,1
151,4,151,151,4,5,1,3,17,11,0.0,4,-4,3232491666,1,1
149,10,149,149,10,11,1,5,15,8,1.67,10,0,444665264,1,1
211,6,211,209,6,7,5,1,2,2,0.0,2,-2,391588782,1,0
852,24,852,273,24,10,8,2,7,6,-0.33,3,-5,3174480204,0,0
2568,58,1410,817,29,23,14,3,45,32,0.0,0,0,2260957884,0,1
198,2,198,68,2,1,8,2,6,5,0.0,0,0,1989252247,1,0
622,8,622,203,8,3,8,1,2,2,-0.67,2,-4,3155285372,1,0
3010,67,1093,182,27,6,11,4,39,26,0.0,0,0,2397601099,0,1
3690,57,669,365,17,9,28,6,117,76,0.0,0,0,1813006676,0,0
591,3,338,111,1,1,14,1,2,2,0.0,1,-1,903891179,0,0
386,7,150,150,1,2,12,3,12,8,0.83,6,-6,3936782989,1,0
282,4,282,81,4,2,8,2,3,2,0.0,2,-1,3674301569,1,0
1162,13,808,209,9,4,11,2,7,6,0.0,0,0,240100812,0,0
373,3,373,119,3,1,7,0,0,0,-0.17,1,-1,1880061081,0,0
165,4,165,165,4,5,2,1,1,1,0.0,2,-3,2337280165,1,0
356,7,153,101,6,7,18,1,6,6,0.0,2,-2,440228668,1,0
80,0,80,10,0,1,8,1,2,2,0.0,0,0,2014437515,1,0
855,2,855,278,2,1,8,2,3,2,-0.17,0,-1,3537812988,1,0
5946,59,2467,693,25,2,16,4,31,19,0.0,0,0,613185926,0,1
386,7,150,150,1,2,12,3,12,8,0.83,6,-6,2730247317,1,0
255,2,255,255,2,2,4,1,4,4,-0.5,0,-3,784755234,0,0
39,0,39,14,0,0,8,2,2,1,0.0,0,0,2198518518,0,0
320,15,320,320,15,16,4,2,13,11,0.0,0,0,2285272932,1,1
2477,34,319,184,4,2,42,4,42,25,0.0,0,0,459036837,0,1
770,6,749,316,6,3,9,3,57,49,0.5,7,-4,1112740874,0,0
50,3,50,22,3,1,8,1,2,2,0.0,2,-2,647138544,0,0
690,19,655,403,19,13,12,4,12,9,0.0,11,-11,1739920294,1,1
1932,26,362,234,4,4,16,2,22,17,0.0,0,0,2995354894,0,1
976,4,416,104,2,1,18,1,3,3,0.0,0,0,4110452357,0,0
765,42,765,229,42,18,8,5,18,10,0.0,0,0,135451306,1,1
828,24,37,11,2,1,35,3,19,16,-0.17,0,-1,2687778692,1,0
153,2,153,37,2,0,8,2,13,12,0.0,0,0,4080267144,0,0
281,2,281,146,2,1,5,0,0,0,0.0,2,-2,214242384,1,0
496,12,416,48,9,2,9,2,6,5,0.0,2,-2,52513982,0,0
2281,56,2281,861,56,32,8,4,81,57,0.0,0,0,2846991619,1,0
828,24,37,11,2,0,35,3,19,16,-0.17,0,-1,1572191643,0,0
18,0,18,4,0,0,8,2,10,9,0.0,0,0,3566342658,0,0
564,22,202,71,15,9,22,4,18,9,0.0,0,0,3088312568,0,0
220,9,220,220,9,10,2,1,2,2,0.0,5,-4,3421067973,1,1
688,14,688,688,14,14,3,2,8,6,0.0,0,0,3474515352,0,1
178,0,178,32,0,1,8,1,6,6,0.0,0,0,357945122,1,0
370,53,370,370,53,53,1,3,18,14,8.83,53,0,3699218501,0,1
222,23,222,72,23,5,8,2,7,6,-0.33,1,-1,4127291588,0,0
77,7,77,19,7,5,8,1,3,3,-0.33,3,-2,3075469649,1,0
78,3,78,8,3,1,8,0,0,0,-0.17,1,-2,3042198239,1,0
174,13,62,18,7,7,16,3,18,15,0.0,0,0,2463819911,0,0
66,6,66,23,6,4,8,1,1,1,0.17,2,-2,2591635250,0,0
139,0,139,34,0,0,8,0,0,0,0.0,0,0,1801325821,0,0
2047,6,969,489,4,3,13,1,7,7,-0.17,0,-1,3948835215,1,0
342,4,342,103,4,2,8,1,5,5,0.0,1,-1,1759902448,0,1
273,5,273,218,5,5,5,2,6,4,0.17,4,-3,1830327748,0,0
507,8,242,223,4,5,30,2,10,8,0.0,0,0,583665634,1,1
1098,20,601,240,11,6,14,3,8,6,0.0,0,0,2890635084,1,0
874,16,471,167,10,6,15,1,7,7,0.0,2,-4,2949466009,0,1
3543,39,208,36,5,2,24,2,43,41,-0.17,0,-1,2660944302,1,0
642,6,642,498,6,4,5,1,6,6,0.0,2,-2,1205292990,0,1
238,8,238,59,8,1,7,1,3,3,-0.17,0,-1,213166571,0,0
2200,18,109,13,0,0,27,1,9,9,0.0,0,0,1135359477,0,1
1150,17,191,74,0,1,41,2,13,11,0.0,0,0,1257664230,1,1
53,0,53,53,0,0,2,0,0,0,0.0,0,0,2833366955,0,0
1318,10,657,257,4,2,16,3,13,10,0.0,0,0,1887035738,1,0
365,26,365,110,26,10,8,2,9,8,0.0,3,-3,1504216839,1,0
373,3,373,119,3,2,7,0,0,0,-0.17,1,-1,355835211,1,0
4935,132,852,410,17,6,39,4,89,67,0.0,0,0,16022478,0,1
560,2,560,148,2,0,8,2,6,4,-0.17,0,-1,1288930723,0,0
89,0,89,26,0,0,8,0,0,0,0.0,0,0,2393588177,0,0
775,41,383,97,18,6,16,2,30,24,0.0,0,0,3481670726,1,1
107,5,107,107,5,5,1,1,1,1,0.0,5,-5,1558991833,0,1
1007,14,197,55,3,4,37,1,4,4,0.0,0,0,1038277883,1,0
3406,51,669,200,7,2,37,8,60,46,-0.5,9,-5,3941675404,0,0
571,12,330,89,2,0,13,3,9,7,0.0,0,0,2779385659,0,0
3653,75,2151,919,46,26,14,2,73,63,0.0,0,0,1007349940,1,0
593,17,359,200,13,9,12,1,5,5,0.0,0,0,3220368911,1,0
217,5,105,25,3,2,12,1,2,2,0.0,2,-2,3212739421,0,0
1153,55,533,201,29,18,15,2,12,10,-0.17,0,-1,32900904,1,1
591,3,338,111,1,2,14,1,2,2,0.0,1,-1,532693798,1,1
781,36,781,616,36,33,5,2,5,4,0.0,0,0,3741028592,1,1
40,5,24,4,1,2,15,1,2,2,0.0,1,-1,160887874,1,0
363,3,155,58,0,1,11,2,5,4,0.0,0,0,3821433616,1,1
467,11,467,98,11,6,8,4,15,10,-0.17,3,-3,1002243286,0,1
256,8,256,31,8,4,8,3,6,3,0.0,1,-2,3605119580,1,0
155,1,155,53,1,0,8,1,7,7,0.0,5,-5,163247502,0,0
467,11,467,98,11,6,8,4,15,10,-0.17,3,-3,1760550652,0,1
141,6,141,45,6,1,8,1,1,1,-0.67,1,-4,1343721694,0,0
264,2,85,84,0,1,15,1,5,5,0.0,0,0,718696514,1,1
637,5,213,75,2,0,22,1,8,8,0.0,1,-1,2609741637,0,0
259,2,259,86,2,0,8,1,2,2,0.0,0,0,3054776991,0,0
107,1,107,107,1,2,3,0,0,0,0.0,1,-1,2220898187,1,1
390,10,305,171,8,8,10,3,8,6,0.0,0,0,2759499823,1,1
898,23,444,35,4,1,16,3,11,8,-0.33,1,-2,3544589785,0,1
668,10,360,99,9,9,13,5,37,25,0.0,0,0,3695514236,0,0
673,12,471,259,12,12,16,1,14,14,0.0,6,-5,1575335127,1,1
3010,67,1093,182,27,6,11,4,39,26,0.0,0,0,2050071683,0,1
2040,20,252,87,6,5,27,2,14,12,0.0,0,0,511903110,1,1
85,0,85,15,0,0,8,1,3,3,-0.17,0,-1,163790007,0,0
553,4,146,47,0,1,28,1,7,7,0.0,0,0,804965292,1,0
553,4,146,47,0,0,28,1,7,7,0.0,0,0,940646996,0,0
985,59,985,333,59,22,8,6,31,20,-2.33,3,-8,2849934187,0,0
1432,86,317,61,15,1,39,3,45,34,0.0,0,0,1609411070,0,0
646,41,202,47,17,3,23,4,27,20,0.0,0,0,2791952534,0,0
51,5,51,22,5,4,8,1,1,1,0.17,2,-2,1880855510,1,0
662,3,661,167,3,4,8,2,4,3,0.0,2,-1,2203026908,1,0
248,5,248,37,5,3,8,1,4,4,0.0,1,-1,3528583320,1,0
526,4,241,83,1,1,16,4,4,1,0.0,0,0,2039610615,1,0
618,8,73,33,0,1,29,2,12,11,0.0,0,0,2036218544,1,0
3855,125,1678,955,44,35,15,3,88,76,0.0,0,0,657336609,1,1
346,6,346,183,6,4,8,1,4,4,0.0,0,0,2189975959,1,1
976,4,416,104,2,2,18,1,3,3,0.0,0,0,2360806180,1,0
260,7,260,56,7,2,8,2,4,3,0.0,1,-1,1834734389,1,0
3406,51,669,200,7,3,37,8,60,46,-0.5,9,-5,2707112867,1,0
1780,14,334,84,2,1,24,4,27,19,0.0,1,-1,1936932824,0,0
100,11,100,100,11,12,1,2,4,3,0.0,11,-11,2962490972,1,1
692,12,692,255,12,2,8,2,20,18,0.0,1,-1,2193520330,0,0
247,8,153,33,2,2,9,2,7,4,0.0,1,-1,3719950346,1,0
1580,27,806,236,18,13,10,5,76,62,-0.5,1,-3,4050331045,1,0
1039,31,1039,1039,31,31,3,3,10,7,0.0,12,-10,512313011,0,1
257,8,257,51,8,0,6,2,5,4,0.0,0,0,346994045,0,0
656,6,600,305,4,3,9,1,3,3,-0.17,0,-1,2329483573,1,1
104,11,104,104,11,11,4,1,1,1,0.0,5,-5,1847490735,0,1
874,16,471,167,10,7,15,1,7,7,0.0,2,-4,2966199363,1,1
571,4,571,190,4,0,8,1,2,2,-0.5,0,-3,3785062924,0,0
353,5,353,219,5,4,6,2,5,4,-0.33,2,-2,791401439,1,1
2816,43,1558,777,26,4,12,3,40,34,0.0,0,0,1931033902,0,1
264,2,85,84,0,0,15,1,5,5,0.0,0,0,790206181,0,0
193,5,193,193,5,5,1,2,4,3,0.0,0,0,544629281,0,1
2299,41,693,244,7,1,24,4,26,18,0.0,0,0,797865366,1,0
229,8,44,14,3,2,27,1,9,9,-0.17,2,-2,2604252705,0,0
763,20,763,754,20,21,5,2,13,12,0.0,0,0,1461566,1,0
334,9,334,334,9,10,2,5,11,7,0.0,8,-7,2647070446,1,1
2299,41,693,244,7,0,24,4,26,18,0.0,0,0,2526088012,0,0
3390,27,1793,586,15,9,16,8,24,16,0.0,0,0,4256964705,1,1
467,11,467,98,11,7,8,4,15,10,-0.17,3,-3,3306581123,1,1
765,42,765,229,42,18,8,5,18,10,0.0,0,0,403032802,1,1
258,9,258,40,9,3,8,1,4,4,0.0,3,-3,3906554176,0,0
120,4,120,120,4,4,2,2,3,2,0.0,4,-4,2112768660,0,1
1431,64,1431,939,64,51,5,3,24,17,0.0,0,0,2446222079,1,1
320,15,320,320,15,16,4,2,13,11,0.0,0,0,1038669749,1,1
126,1,126,126,1,2,1,2,3,2,0.17,1,0,2932525941,1,1
426,14,272,197,12,7,11,1,3,3,0.0,3,-4,1997286816,1,1
3543,39,208,36,5,1,24,2,43,41,-0.17,0,-1,864199732,0,0
782,18,538,284,13,9,9,3,4,2,0.0,0,0,1811902470,1,1
364,13,364,38,13,5,8,2,10,9,-0.5,0,-3,3692627837,0,0
554,14,336,172,9,8,16,1,2,2,-1.0,0,-5,3296859133,0,1
135,10,135,135,10,10,1,2,5,4,0.0,10,-10,2860315931,0,0
555,3,271,61,0,0,15,0,0,0,0.0,0,0,2907652367,0,0
63,14,63,16,14,6,8,1,6,6,-0.33,4,-4,1650886051,0,0
422,3,422,113,3,3,8,6,13,7,0.0,2,-2,690455801,1,0
365,4,365,142,4,2,8,3,14,9,0.0,0,0,3453213135,1,0
3406,7,834,253,2,1,25,2,22,16,0.0,0,0,2421967838,0,0
789,0,348,127,0,1,16,1,6,6,0.0,0,0,437698568,1,0
3071,61,3071,1450,61,29,8,3,45,34,0.0,0,0,1532600959,0,1
579,19,320,156,14,6,12,1,10,10,-0.5,0,-3,3843659185,0,1
69,1,69,16,1,0,8,1,1,1,-0.17,0,-1,832692729,0,1
107,5,107,107,5,5,1,1,1,1,0.0,5,-5,4142240137,0,1
1688,12,1059,497,8,6,12,4,14,10,0.0,4,-3,4038333753,0,1
291,11,291,291,11,12,4,2,7,6,0.33,7,-6,644108388,1,1
326,9,136,51,1,1,15,1,9,9,0.0,0,0,2713159603,0,0
135,0,135,45,0,1,7,2,5,4,0.0,0,0,3210544372,1,0
97,0,97,24,0,1,8,0,0,0,0.0,0,0,519863232,1,0
58,1,58,58,1,1,1,3,8,5,0.0,1,-1,153407335,0,0
162,0,162,72,0,1,7,4,37,28,0.5,3,-1,1802640501,1,0
656,6,600,305,4,2,9,1,3,3,-0.17,0,-1,3174595119,0,1
1251,16,1251,758,16,11,6,3,5,3,0.0,0,0,888872179,1,1
193,5,193,193,5,5,1,2,4,3,0.0,0,0,3621095453,0,1
398,3,185,56,1,2,16,2,4,2,0.0,1,-1,1818249964,1,0
296,24,296,154,24,17,5,4,18,13,-1.5,0,-6,3720362466,1,1
82,0,82,27,0,1,8,1,1,1,0.0,0,0,847259006,1,0
757,7,158,47,1,0,29,2,8,7,0.0,0,0,1548289723,0,0
103,1,103,29,1,0,7,0,0,0,0.0,1,-1,1257231027,0,0
193,5,193,193,5,5,1,2,4,3,0.0,0,0,1878688897,0,1
172,7,172,32,7,1,8,1,1,1,0.0,0,0,531591079,1,0
248,5,248,37,5,2,8,1,4,4,0.0,1,-1,831310719,0,0
1203,3,437,95,1,0,11,1,4,4,0.0,0,0,19667736,0,0
785,4,305,103,3,1,16,2,3,2,0.0,2,-2,3993869710,1,0
386,7,150,150,1,2,12,3,12,8,0.83,6,-6,1165696596,1,0
72,0,19,7,0,0,15,1,1,1,0.0,0,0,1052686261,0,0
4502,38,454,176,6,5,37,5,39,26,0.33,2,-1,372357488,1,0
291,11,291,291,11,11,4,2,7,6,0.33,7,-6,4220778063,0,1
50,3,50,22,3,2,8,1,2,2,0.0,2,-2,3964319868,1,0
4320,38,789,227,10,3,29,3,28,24,-0.17,0,-1,1634022736,0,0
1293,25,198,54,6,2,29,5,40,29,0.0,0,0,2073137968,0,0
1205,21,1205,998,21,16,5,2,9,6,0.0,0,0,4009452372,0,0
265,2,265,265,2,2,3,2,4,3,0.17,1,-1,3194788453,0,1
824,25,824,647,25,26,5,2,5,4,-1.17,4,-8,2225243,1,1
58,9,58,58,9,9,2,0,0,0,0.0,9,-9,1530251487,0,1
688,14,688,688,14,14,3,2,8,6,0.0,0,0,1711428696,0,1
606,16,606,111,16,8,8,2,14,13,0.0,1,-1,214371667,0,0
1249,25,1249,1249,25,25,3,6,24,16,0.0,0,0,3806920120,0,1
571,4,571,190,4,1,8,1,2,2,-0.5,0,-3,2118646990,1,0
610,19,455,150,10,4,10,2,10,8,-0.67,3,-4,465953894,0,0
1934,94,922,638,30,18,17,3,29,24,0.0,0,0,4190513066,0,1
8411,152,5467,2105,99,42,12,4,75,63,0.0,0,0,1770382463,1,1
873,6,617,303,5,4,11,1,8,8,0.0,1,-2,1940739081,1,1
846,11,846,257,11,9,8,1,2,2,-0.33,0,-2,1348984670,0,0
74,2,74,17,2,0,8,0,0,0,0.0,0,0,2952517891,0,0
252,2,128,47,1,1,15,1,2,2,0.0,1,-1,3565981613,0,1
85,3,85,13,3,1,8,1,1,1,-0.5,0,-3,2809929580,1,0
166,1,166,54,1,0,7,0,0,0,0.0,0,0,3784883073,0,0
1674,29,512,141,17,2,15,3,25,20,0.0,0,0,345966922,0,0
397,7,397,146,7,4,8,3,7,5,0.0,3,-3,4283433237,1,0
209,19,209,77,19,7,8,3,8,4,-1.17,1,-4,129366722,1,0
1024,34,273,56,15,10,19,3,18,14,0.0,10,-10,3870474460,0,0
884,27,215,67,18,6,26,2,18,16,-0.33,0,-2,2256455686,1,1
1133,23,1132,710,23,8,8,4,21,14,0.0,0,0,851420451,0,1
134,4,134,26,4,2,8,1,1,1,-0.17,1,-2,2276262029,1,0
441,5,441,125,5,5,8,1,5,5,0.0,1,-1,774490975,1,0
356,7,153,101,6,6,18,1,6,6,0.0,2,-2,1804659686,0,0
669,15,115,43,4,0,41,3,36,25,0.0,0,0,2428432607,0,0
781,36,781,616,36,32,5,2,5,4,0.0,0,0,3411644224,0,1
29,4,29,29,4,5,1,2,3,2,0.0,4,-4,1644731110,1,1
2299,41,693,244,7,0,24,4,26,18,0.0,0,0,345110038,0,0
